InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
538000,79321,CHILLI LIGHTS,12,12/9/2010 11:44,4.95,12748,United Kingdom
538001,35958,,10,12/9/2010 11:45,0,,United Kingdom
538002,22690,DOORMAT HOME SWEET HOME BLUE ,2,12/9/2010 11:48,7.95,14932,Channel Islands
538002,21955,DOORMAT UNION JACK GUNS AND ROSES,2,12/9/2010 11:48,7.95,14932,Channel Islands
538002,20685,DOORMAT RED RETROSPOT,2,12/9/2010 11:48,7.95,14932,Channel Islands
538002,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,12/9/2010 11:48,7.95,14932,Channel Islands
538002,21169,YOU'RE CONFUSING ME METAL SIGN ,12,12/9/2010 11:48,1.69,14932,Channel Islands
538002,22112,CHOCOLATE HOT WATER BOTTLE,3,12/9/2010 11:48,4.95,14932,Channel Islands
538002,21485,RETROSPOT HEART HOT WATER BOTTLE,3,12/9/2010 11:48,4.95,14932,Channel Islands
538002,21587,COSY HOUR GIANT TUBE MATCHES,12,12/9/2010 11:48,2.55,14932,Channel Islands
538002,21591,COSY HOUR CIGAR BOX MATCHES ,24,12/9/2010 11:48,1.25,14932,Channel Islands
538002,21627,ELEPHANT CARNIVAL POUFFE,2,12/9/2010 11:48,14.95,14932,Channel Islands
538002,21628,TRIANGULAR POUFFE VINTAGE ,2,12/9/2010 11:48,14.95,14932,Channel Islands
538002,21630,FLOOR CUSHION ELEPHANT CARNIVAL,2,12/9/2010 11:48,8.95,14932,Channel Islands
538002,22510,GINGHAM BABUSHKA DOORSTOP,4,12/9/2010 11:48,3.75,14932,Channel Islands
538002,21116,OWL DOORSTOP,3,12/9/2010 11:48,4.95,14932,Channel Islands
538002,22688,DOORMAT PEACE ON EARTH BLUE,2,12/9/2010 11:48,7.95,14932,Channel Islands
538002,48138,DOORMAT UNION FLAG,2,12/9/2010 11:48,7.95,14932,Channel Islands
538002,C2,CARRIAGE,1,12/9/2010 11:48,50,14932,Channel Islands
538003,22847,BREAD BIN DINER STYLE IVORY,8,12/9/2010 12:05,14.95,12429,Denmark
